time	V(n003)	V(n005)	I(I1)
0.000000000000000e+000	1.362921e+000	2.500085e+000	1.250000e-004
9.636378853130151e-006	1.362927e+000	2.500090e+000	1.250378e-004
1.927275770626030e-005	1.362939e+000	2.500103e+000	1.250757e-004
2.890913655939045e-005	1.362958e+000	2.500125e+000	1.251135e-004
3.854551541252060e-005	1.362982e+000	2.500156e+000	1.251514e-004
4.818189426565075e-005	1.363014e+000	2.500196e+000	1.251892e-004
5.781827311878091e-005	1.363051e+000	2.500245e+000	1.252270e-004
6.745465197191104e-005	1.363095e+000	2.500302e+000	1.252649e-004
1.192112003905114e-004	1.363378e+000	2.500747e+000	1.254681e-004
2.123077748401501e-004	1.364035e+000	2.502106e+000	1.258337e-004
3.341209974482204e-004	1.365008e+000	2.504856e+000	1.263121e-004
5.091034091276016e-004	1.366448e+000	2.510443e+000	1.269992e-004
7.044159091276017e-004	1.368048e+000	2.518557e+000	1.277660e-004
9.156077045531890e-004	1.369759e+000	2.529090e+000	1.285951e-004
1.063814461858672e-003	1.370948e+000	2.537356e+000	1.291768e-004
1.233193613064937e-003	1.372295e+000	2.547486e+000	1.298415e-004
1.428506113064937e-003	1.373834e+000	2.559908e+000	1.306078e-004
1.623818613064937e-003	1.375356e+000	2.572961e+000	1.313739e-004
1.819131113064937e-003	1.376863e+000	2.586507e+000	1.321398e-004
2.209756113064937e-003	1.379829e+000	2.614669e+000	1.336707e-004
2.600381113064937e-003	1.382736e+000	2.643779e+000	1.352003e-004
3.186318613064938e-003	1.386987e+000	2.688432e+000	1.374918e-004
3.744354327350653e-003	1.390910e+000	2.731713e+000	1.396718e-004
4.302390041636368e-003	1.394733e+000	2.774973e+000	1.418457e-004
4.860425755922083e-003	1.398457e+000	2.818212e+000	1.440134e-004
5.418461470207798e-003	1.402082e+000	2.861429e+000	1.461750e-004
5.976497184493513e-003	1.405608e+000	2.904625e+000	1.483303e-004
6.534532898779228e-003	1.409034e+000	2.947800e+000	1.504795e-004
7.092568613064941e-003	1.412362e+000	2.990953e+000	1.526226e-004
9.711848746993506e-003	1.426524e+000	3.193874e+000	1.627058e-004
1.233112888092207e-002	1.439460e+000	3.388944e+000	1.723777e-004
1.495040901485063e-002	1.451168e+000	3.576160e+000	1.816383e-004
1.756968914877920e-002	1.461650e+000	3.755524e+000	1.904876e-004
